created_at,heart_rate,spo2,activity,sound_level,temperature
2025-10-11 00:17:23+00:00,82,96,0.44779,1484,36.58975
2025-10-11 00:17:42+00:00,86,97,0.49734,1496,37.15608
2025-10-11 00:18:06+00:00,92,95,0.80565,1635,37.05303
2025-10-11 00:18:25+00:00,59,98,0.025,892,36.5
2025-10-11 00:18:46+00:00,56,98,0.042,605,36.0
2025-10-11 00:19:04+00:00,54,98,0.034,818,36.0
2025-10-11 00:19:23+00:00,54,98,0.021,1487,35.9
2025-10-11 00:19:42+00:00,58,97,0.016,664,36.0
2025-10-11 00:20:02+00:00,60,98,0.038,760,36.6
2025-10-11 00:20:22+00:00,55,97,0.04,676,36.5
2025-10-11 00:20:41+00:00,56,97,0.015,800,36.4
2025-10-11 00:21:00+00:00,60,98,0.035,896,36.5
2025-10-11 00:21:15+00:00,53,96,0.019,717,36.2
2025-10-11 00:21:35+00:00,59,96,0.046,674,36.0
2025-10-11 00:21:54+00:00,55,96,0.04,859,36.1
2025-10-11 00:22:14+00:00,53,96,0.054,729,36.0
2025-10-11 00:22:33+00:00,84,97,0.3966,1506,36.7784
2025-10-11 00:22:52+00:00,86,97,0.3294,1664,37.1896
2025-10-11 00:23:09+00:00,81,96,0.454,1461,36.498
2025-10-11 00:23:28+00:00,87,95,0.4078,1653,36.6092
2025-10-11 00:23:43+00:00,82,97,0.4444,1540,37.1176
2025-10-11 00:24:02+00:00,83,95,0.4662,2970,37.1288
2025-10-11 00:24:22+00:00,84,95,0.518,1637,37.24
2025-10-11 00:24:41+00:00,84,96,0.5648,1585,36.5512
2025-10-11 00:24:57+00:00,86,95,0.5404,1393,36.5596
2025-10-11 00:25:16+00:00,83,97,0.6532,1478,36.7708
2025-10-11 00:25:34+00:00,88,97,0.5538,1284,36.5792
2025-10-11 00:25:58+00:00,92,97,0.6746,1304,37.0904
2025-10-11 00:26:17+00:00,92,97,0.7314,1506,36.8016
2025-10-11 00:26:40+00:00,79,97,0.432,1323,36.605
2025-10-11 00:26:57+00:00,80,95,0.50523,1572,36.83076
2025-10-11 00:27:17+00:00,83,96,0.58664,1178,36.75891
2025-10-11 00:27:36+00:00,88,97,0.56479,1231,37.27375
2025-10-11 00:27:56+00:00,91,96,0.54024,1379,37.07159
2025-10-11 00:28:16+00:00,87,97,0.51138,2784,37.25298
2025-10-11 00:28:31+00:00,80,95,0.5275,1448,36.63086
2025-10-11 00:28:50+00:00,85,95,0.33874,1622,36.49634
2025-10-11 00:29:10+00:00,85,95,0.25948,1210,37.16396
2025-10-11 00:29:25+00:00,83,96,0.26922,1148,36.54597
2025-10-11 00:29:47+00:00,79,97,0.30038,1087,37.03515
2025-10-11 00:30:06+00:00,78,95,0.29193,1495,36.44158
2025-10-11 00:30:26+00:00,85,97,0.37278,1175,37.16369
2025-10-11 00:30:48+00:00,79,97,0.43688,1464,36.49601
2025-10-11 00:31:03+00:00,100,96,0.94923,1836,37.4322
2025-10-11 00:31:22+00:00,104,94,1.2955,1910,37.02369
2025-10-11 00:31:42+00:00,104,94,1.38146,1936,36.87968
2025-10-11 00:32:01+00:00,104,96,1.45453,2105,37.28632
2025-10-11 00:32:21+00:00,103,95,1.25247,1707,37.44196
2025-10-11 00:32:40+00:00,103,96,1.04149,1563,37.35758
2025-10-11 00:33:00+00:00,92,95,0.78321,1838,37.25402
2025-10-11 00:33:19+00:00,91,96,0.59143,1682,37.05689
2025-10-11 00:33:39+00:00,83,95,0.35889,1293,36.69018
2025-10-11 00:33:54+00:00,84,95,0.33115,1478,36.87045
2025-10-11 00:34:13+00:00,79,95,0.36979,1288,36.88975
2025-10-11 00:34:32+00:00,87,96,0.53234,1172,36.65608
2025-10-11 00:34:51+00:00,89,95,0.80365,1633,36.65303
2025-10-11 00:35:11+00:00,53,96,0.024,2441,36.6
2025-10-11 00:35:30+00:00,54,97,0.02,843,36.0
2025-10-11 00:35:50+00:00,56,97,0.025,873,36.2
2025-10-11 00:36:12+00:00,58,97,0.047,871,36.1
2025-10-11 00:36:27+00:00,56,96,0.045,665,36.4
2025-10-11 00:36:46+00:00,55,96,0.023,652,36.2
